Id,Relevance,Ref,Version,Lang,Content,Field,Score
118,--,"Mishneh Torah, Plaintiff and Defendant 14:11",Wikisource Mishneh Torah,he,"מחזיקין בנכסי אשת איש, כיצד אכלה מקצת שני חזקה בחיי הבעל ושלש שנים אחר מיתת הבעל, וטען ואמר מכרתה /מכרת/ לי את ובעליך מעמידין אותה בידו מתוך שיכול לומר ממך לקחתיה אחר מות בעליך שהרי אכלה שני חזקה אחר מיתת הבעל ולא מיחת בו, אבל אם אכלה בחיי בעלה כמה שנים ולא אכלה שני חזקה אחר מיתת בעלה אין לו חזקה.",hebmorph-standard,18.774916
119,--,Metzudat Zion on Song of Songs 8:7:2,On Your Way,he,ישטפוה. ענין גריפה על ידי חוזק הרדיפה וכן תשטף ספיחיה (איוב יד יט): ,aggresive-ngram,35.743202
120,--,"Tur, Choshen Mishpat 69:8","Choshen Mishpat, Vilna, 1923",he,"       ואם הוא כופר ואומר שאינו כתב ידו אם נתקיים בב""ד או שעדים מעידים שהוא כתב ידו הוחזק כפרן ומשלם ואם לאו נשבע היסת ונפטר: ",aggresive-ngram,30.058985
121,--,Ikar Siftei Hachamim on Exodus 28:41:5,On Your Way,he,פירוש שימלא ידם בבית יד לסימן שיש לו כח חזקה בדבר שיתמנה עליו. כי כל מה שתופס בידו הוא בחזקתו והתופס במילוי יד יותר מוחזק מאלו תפסו בקצת ידו ולכך כנה המחזיק בדבר בחזקה מלוי יד:,infreq,22.447712
122,--,Eruvin 97a:11,William Davidson Edition - Aramaic,he,והתני רב כהנא בתפילין בודק שתים של יד ושל ראש הא מני רבי היא דאמר בתרי זימני הוי חזקה,ngram,25.295074
123,--,Haamek Davar on Deuteronomy 11:2:4,"Sefer Torat Elohim, Vilna 1879",he,"את ידו החזקה. שידוד הטבע כמש״כ לעיל ג׳ כ״ד:
",hebmorph-standard,55.248894
124,--,Malbim on I Samuel 15:12:1,On Your Way,he,"והנה מציב לו יד הציב ציון לאות על נצחון זה ועליו צורת יד ציון ידו החזקה אשר הראה במלחמה זו, ",aggresive-ngram,31.212978
125,--,Zohar 3:227a:7,Torat Emet Zohar,he,"דא יו''ד ה''א וא''ו ה''א, ימינא איהו מים. ואיהו יד הגדולה. משמאלא אש. ואיהי יד החזקה. בעמודא דאמצעיתא, י''ד רמה. דאיהי רוחא דקדשא. וכלא בן י''ד. (יחזקאל א) כי רוח החיה באופנים אל אשר יהיה שמה הרוח",aggresive-ngram,30.892836
126,--,Metzudat David on I Samuel 7:14:3,On Your Way,he,"ויהי שלום. כי בעוד משלו פלשתים בישראל, נלחמו עמהם האמורי הנשארו בארץ ישראל, אבל כאשר חזקה יד ישראל, היה שלום ביניהם:
",original,8.767709
127,--,Metzudat Zion on Jeremiah 51:53:3,On Your Way,he,"עזה. חזקה:
",ngram,23.484877
128,--,"Mahberet Menachem, Letter Yod 4:2","Mahberet Menahem, London, 1854.",he,"‎מתחלק לארבע מחלקות: האחד, יד תחת יד (שמות כא, כד), ועל בהן ידו הימנית (ויקרא ח, כג), ידיכם דמים מלאו (ישעיהו א, טו), וישלח תבנית יד (יחזקאל ח, ג), וידי אדם (שם א, ח), כמשמעו.",aggresive-ngram,31.624073
129,--,"Siftei Hakhamim, Exodus 28:41:5",Siftei Hakhamim,he,"ט פירוש שימלא ידם בבית יד לסימן שיש לו כח חזקה בדבר שיתמנה עליו. כי כל מה שתופס בידו הוא בחזקתו והתופס במילוי יד יותר מוחזק מאלו תפסו בקצת ידו ולכך כנה המחזיק בדבר בחזקה מלוי יד:  
",infreq,22.399485
130,--,"Mahberet Menachem, Letter Yod 4:5","Mahberet Menahem, London, 1854.",he," היתה אלי (יחזקאל לג, כב), ויד ה' עלי חזקה (שם ג, יד). ויש יד אשר ענינו נגע, כאלה: ידי כבדה על אנחתי (איוב כג, ב), ידי לילה נגרה ולא תפוג (תהלים עז, ג). ויש יד כמשמעה, וענינו עצה, היד יואב אתך בכל זאת (ש""ב יד, יט).",original,7.3310165
131,--,Bava Batra 47a:2,William Davidson Edition - Aramaic,he,אמר רבי יוחנן אומן אין לו חזקה בן אומן יש לו חזקה אריס אין לו חזקה בן אריס יש לו חזקה גזלן ובן גזלן אין להן חזקה בן בנו של גזלן יש לו חזקה,hebmorph-exact,6.8386917
132,--,"Siftei Hakhamim, Exodus 6:1:3",Siftei Hakhamim,he,"ד (נח""י) נ""ל דה""פ בשביל יד חזקה של הקב""ה שתחזק על מצרים יגרשם אבל הרא""ם פי' ביד חזקה של פרעה שתתחזק על העם יגרשם אבל לא נהירא ע""ש: 
",hebmorph-standard,57.132572
133,--,Bava Batra 36a:9,William Davidson Edition - Aramaic,he,והעבדים וכו׳ עבדים יש להם חזקה והאמר ריש לקיש הגודרות אין להן חזקה אמר רבא אין להן חזקה לאלתר אבל יש להן חזקה לאחר שלש שנים,hebmorph-exact,7.1572285
134,--,Malbim on Jeremiah 21:5:3,On Your Way,he,"ובזרוע חזקה זו החרב, והמלחמה תהיה באף ובחמה ובקצף גדול, ומפרש נגד יד נטויה
",ngram,24.232996
135,--,Kitzur Baal Haturim on Deuteronomy 34:12:1,On Your Way,he,היד החזקה בגימט' אף חימה. שמשה כבשן:,hebmorph-standard,66.18753
136,--,Bartenura on Mishnah Niddah 1:1:7,On Your Way,he,"על יד. אחר. כמו ועל ידו החזיק, שהוא כמו ואחריו, בספר עזרא (פרק ג׳):",aggresive-ngram,35.765686
137,--,Nehemiah 3:17,Tanach with Nikkud,he,אחריו החזיקו הלוים רחום בן־בני על־ידו החזיק חשביה שר־חצי־פלך קעילה לפלכו,aggresive-ngram,40.118286
138,--,Haamek Davar on Deuteronomy 10:17:4,"Sefer Torat Elohim, Vilna 1879",he,"והגבור. הכח היותר חזק בגבורה לאחוז בגלגל הטבע וזהו יד חזקה. כמש״כ לעיל ג׳ כ״ד. ומש״ה מכונה בזה בשם גבור:
",hebmorph-standard,54.69361
139,--,Ibn Ezra on Genesis 49:24:3,Ibn Ezra on Genesis -- Torat Emet,he,והטעם ששטמוהו בעלי חצים והתחברו לשפוך מררתו וקשתו היתה חזקה ופחדו ממנו ולא יכלו כי היו ידיו חזקים:,aggresive-ngram,31.275303
140,--,Magen Avraham 25:15,Magen Avraham,he,"להניח וגם על מצות. כתב הר""ן וממשמש בשל יד ומחזק הקשר ומברך על ש""ר שניהן וכו' עכ""ל וטעמו כיון די""א דחייב לברך כשממשמש והכא י""א דא""צ לברך להניח לכן ימשמש בש""י ועסי""ב: 
",aggresive-ngram,31.624073
141,--,Metzudat Zion on Psalms 98:8:1,On Your Way,he,"ימחאו. ענין הכאה לשמוח כמו יען מחאך יד (יחזקאל כה):

",aggresive-ngram,63.209953
142,--,Metzudat David on I Samuel 5:5:1,On Your Way,he,"על כן. על שמצאו על המפתן ראשו וכפות ידיו, החזיקו המפתן למקום קדוש, ולא דרכו עליו: ",aggresive-ngram,35.765686
143,--,Metzudat Zion on Jeremiah 15:20:1,On Your Way,he,בצורה. חזקה: ,ngram,23.44493
144,--,Metzudat David on Jeremiah 11:19:1,On Your Way,he,ואני. ר״ל לא מדעתי אני הולך לנבאות עליהם הרעה כי יד ה׳ היתה חזקה עלי ללכת אליהם ולנבאות ואני ככבש ואלוף אשר כל אחד מהם יובא לטבוח שלא מרצונו כי אין חפצי לנבאות עליהם רעה: ,original,7.3468494
145,--,"Rabbeinu Bahya, Bamidbar 23:21:5","Midrash Rabbeinu Bachya [ben Asher]. Warsaw, 1878",he,"ותרועת מלך בו. הוא יד חזקה ולזה סמך מיד אל מוציאם ממצרים, וזהו שתרגם אונקלוס ושכינת מלכהון, והוא מלשון רעיא, והיא הכלה שבשיר השירים, וזה מבואר.
",aggresive-ngram,37.935238
146,--,Metzudat Zion on Isaiah 55:12:3,On Your Way,he,"ימחאו. ענין הכאה כף אל כף דרך שמחה כמו מחאך יד (יחזקאל כה):
",aggresive-ngram,50.54852
147,--,Sefer Etz Chaim 35:3:3,Sefer Etz Chaim,he," אותיות י""ד פי' מן הידים עליונים שהם יד חזקה יד הגדולה יד הרמה שהם חג""ת מהם נעשה שם שדי שהוא ש' י""ד. וז""ס מקדש אדני כוננו ידך כי הכוננות של אדנ""י שהוא המלכות הנה בנין יסוד שלה שהוא עיקר כוננותה נעשה ע""י הידים העליונים והוא סוד יצחק מיעך באצבע ואין להאריך בזה:",original,0.5426322
148,--,Metzudat Zion on Isaiah 26:5:4,On Your Way,he,"נשגבה. חזקה:
",ngram,23.484877
149,--,Rashi on Job 2:3:1,On Your Way,he,מחזיק . אוחז כמו ( שמות ד ) וישלח ידו ויחזק בו מחזיק באזני כלב ( משלי כו ) : ,aggresive-ngram,35.743202
150,--,Tikkunei Zohar 9a:7,Tikkunei Zohar,he,"יד יהו''ה מימינא, דאתמר בה וירא ישראל את היד הגדולה (שם יד לא) מסטרא דחסד, יד רמה מסטרא דתפארת, דאתמר בה ובני ישראל יוצאים ביד רמה, יד חזקה באמצעיתא דאיהי יד יהו''ה הוי''ה, למהוי רחמי מכל סטרא, דינא",hebmorph-exact,1.446816
151,--,Rashi on Ketubot 111a:3:1,Vilna Edition,he,שלא יעלו בחומה - יחד ביד חזקה:,hebmorph-standard,66.18753
152,--,Metzudat David on Judges 9:41:2,On Your Way,he,"ויגרש. לאחר זמן כאשר חזקה ידו:
",ngram,23.395359
153,--,Metzudat Zion on Song of Songs 8:6:2,On Your Way,he,עזה. חזקה: ,ngram,23.476812
154,--,Ikar Siftei Hachamim on Exodus 6:1:3,On Your Way,he,"(נח""י) נ""ל דה""פ בשביל יד חזקה של הקב""ה שתחזק על מצרים יגרשם אבל הרא""ם פי' ביד חזקה של פרעה שתתחזק על העם יגרשם אבל לא נהירא ע""ש:",hebmorph-standard,57.31935
155,--,Metzudat David on Job 5:15:2,On Your Way,he,"ומיד חזק. בזה יושיע האביון מיד החזק ממנו וכפל הדבר במ״ש:
",hebmorph-standard,62.198067
156,--,Ibn Ezra on Exodus 3:19:1,Ibn Ezra on Exodus -- Torah Emet,he,ואני. לא יתן רשות או כמו יניח. כמו כי על כן לא נתתיך לנגוע אליה. ולא בעבור יד החזקה שיש לו. והגאון אמר ולא ביד חזקה בפעם אחת:,hebmorph-standard,57.320084
157,--,Mishnah Bava Batra 3:3,"Mishnah, ed. Romm, Vilna 1913",he,כל חזקה שאין עמה טענה. אינה חזקה. כיצד אמר לו מה אתה עושה בתוך שלי. והוא אמר לו שלא אמר לי אדם דבר מעולם. אינה חזקה. שמכרת לי. שנתת לי במתנה. אביך מכרה לי. אביך נתנה לי במתנה. הרי זו חזקה. והבא משום,hebmorph-exact,6.7778153
158,--,Mishnah Bava Batra 3:6,Torat Emet 357,he,"המרזב אין לו חזקה, ויש למקומו חזקה. המזחילה יש לה חזקה. סלם המצרי אין לו חזקה, ולצורי יש לו חזקה. חלון המצרית אין לה חזקה, ולצורית יש לה חזקה. איזו היא חלון המצרית, כל שאין ראשו של אדם יכול לכנס",ngram,22.381136
159,--,Metzudat David on Ezekiel 3:14:3,On Your Way,he,"ויד ה׳. כח חוזק הנבואה היתה עלי חזקה ללכת אל בני הגולה לנבאו׳ להם:
",aggresive-ngram,13.782346
160,--,"Tur, Choshen Mishpat 149:14","Choshen Mishpat, Vilna, 1923",he, חזקה בה אבל יש לו חזקה על שדות אחרות   אפילו אם אין ידוע שבזה הפעם בא לידו בתורת גזילה כיון שפעם אחת הוחזק עליה גזלן ויצאה מתחת ידו בתורת גזילה שוב אין לו בה חזקה לעולם: ,aggresive-ngram,13.978417
161,--,Shadal on Exodus 3:19:1,"Shadal first edition, Padua 1871",he," יד חזקה שלו, לא מפני שכחו חזק לפני, וזה מסכים עם תרגום אנקלוס לפי נסח רוב הספרים, ולא מן קדם דחילה תקיף (ועיין אוהב גר עמוד 48); ולפי זה היל""ל ולא מיד חזקה או ולא מחוזק ידו. ובחומש כ""י על קלף שבידי",original,4.129089
162,--,"Chizkuni, Exodus 3:19:2",Chizkuni,he,"ולא ביד חזקה אע״‎פ שאני מראה לו התשע מכות שנקראו יד חזקה כדכתיב ולכל היד החזקה ואמרינן אלו ט׳‎ מכות, עדיין לא יתן אתכם לצאת. אבל כשאשלח ידי והכתי את מצרים במכת בכורים אחרי כן ישלח אתכם.",hebmorph-standard,55.144176
163,--,Malbim on Isaiah 50:2:5,On Your Way,he,"האם אין בי כח להציל אתכם ביד חזקה, ",hebmorph-standard,55.155567
